Station,Lat,Lon
Avedøre St.,55.62518328,12.45425604
Bernstorffsvej St.,55.7430515,12.55748795
Bispebjerg St.,55.70634766,12.54163171
Brøndbyøster St.,55.66506842,12.44021079
Buddinge St.,55.74738284,12.49403793
Carlsberg St.,55.66325722,12.53735305
Danshøj St.,55.66427429,12.49373168
Dybbølsbro St.,55.66482783,12.55951116
Dyssegård St.,55.73262919,12.53574328
Emdrup St.,55.72088745,12.54068688
Friheden St.,55.62888708,12.48255321
Fuglebakken St.,55.69542882,12.52738183
Grøndal St.,55.69073812,12.51600735
Hellerup St.,55.73102208,12.56765848
Herlev St.,55.71891914,12.44367382
Husum St.,55.70940862,12.46403284
Hvidovre St.,55.66451048,12.47434598
Islev St.,55.69952873,12.46938319
Jyllingevej St.,55.69081032,12.47720585
KB Hallen St.,55.67796341,12.49232753
Kildebakke St.,55.74461354,12.50853461
København H,55.67305943,12.56555782
Langgade St.,55.66704995,12.50422421
Peter Bangs Vej St.,55.67859045,12.503443
Ryparken St.,55.71536193,12.55949155
Rødovre St.,55.66481964,12.45864118
Sjælør St.,55.65174184,12.52726516
Svanemøllen St.,55.71555041,12.57804948
Sydhavn St.,55.65475625,12.53717403
Valby St.,55.66399684,12.51444979
Vangede St.,55.73965761,12.52334211
Vesterport St.,55.67601069,12.56208717
Vigerslev Allé St.,55.66003018,12.49909507
Ålholm St.,55.67233031,12.4931139
Åmarken St.,55.64007867,12.49969887
