Station,Lat,Lon
Aksel Møllers Have St. (Metro),55.68637799,12.53318729
Amager Strand St. (Metro),55.65651848,12.63158356
Amagerbro St. (Metro),55.66332572,12.60292888
Bella Center St. (Metro),55.63805134,12.58292839
Christianshavn St. (Metro),55.67205386,12.59138502
DR Byen St. (Metro),55.65581276,12.58898968
Enghave Plads St. (Metro),55.66728385,12.54581422
Fasanvej St. (Metro),55.6816688,12.52310217
Femøren St. (Metro),55.6453483,12.63832382
Flintholm St. (Metro),55.68586853,12.49952655
Forum St. (Metro),55.68182075,12.55243046
Frederiksberg Allé St. (Metro),55.6737269,12.54035135
Frederiksberg St. (Metro),55.6812231,12.53171941
Gammel Strand St. (Metro),55.67774936,12.57957474
Islands Brygge St. (Metro),55.66342237,12.58521689
Kastrup St. (Metro),55.63574662,12.64673227
København H (Metro),55.67194131,12.56411951
Kongens Nytorv St. (Metro),55.67918474,12.58522807
Lergravsparken St. (Metro),55.6621013,12.61641674
Lindevang St. (Metro),55.68348183,12.51287278
Lufthavnen St. (Metro),55.63013737,12.64938953
Marmorkirken St. (Metro),55.68524457,12.58863216
Nordhavn St. (Metro),55.70729773,12.5918341
Nørrebro St. (Metro),55.70055159,12.5380817
Nørrebros Runddel St. (Metro),55.69394492,12.54889857
Nørreport St. (Metro),55.68384276,12.57104417
Nuuks Plads St. (Metro),55.6887955,12.54289231
Ørestad St. (Metro),55.62905502,12.57938875
Øresund St. (Metro),55.66170067,12.6284531
Orientkaj St. (Metro),55.711612,12.59527248
Østerport St. (Metro),55.69321737,12.58535165
Poul Henningsens Plads St. (Metro),55.70925031,12.57670854
Rådhuspladsen St. (Metro),55.67637289,12.56880338
Skjolds Plads St. (Metro),55.70327956,12.54823278
Sundby St. (Metro),55.64519891,12.58572819
Trianglen St. (Metro),55.69913519,12.57607023
Vanløse St. (Metro),55.68729749,12.49166422
Vestamager St. (Metro),55.61939133,12.57529744
Vibenshus Runddel St. (Metro),55.70628427,12.56400006
